# 港股主表 · 来自港交所官方 ListOfSecurities · 更新至 19/08/2026
# 由 scripts/gen_hk_master_csv.py 生成 · 共 3226 条(股票/ETF/REITs)
# name_en 是港交所给的英文名 —— 公开数据里没有中文名,不臆造
code,name_en,category,lot_size
00548,SHENZHENEXPRESS,Equity,2000
00550,ALLEGRO CULTURE,Equity,2000
00551,YUE YUEN IND,Equity,500
00552,CHINACOMSERVICE,Equity,2000
00553,NANJING PANDA,Equity,2000
00554,HANS GP HLDGS,Equity,2000
00556,PAN ASIA ENVIRO,Equity,2000
00557,TIANYUAN HEALTH,Equity,2000
00558,LK TECH,Equity,2500
00559,DETAI NEWENERGY,Equity,10000
00560,CHU KONG SHIP,Equity,2000
00563,SH IND URBAN,Equity,2000
00564,ZCZL,Equity,200
00565,ART GROUP HOLD,Equity,5000
00567,JSMART TECH,Equity,20000
00568,SHANDONG MOLONG,Equity,400
00570,TRAD CHI MED,Equity,2000
00571,ESUN HOLDINGS,Equity,2000
00572,FW HOLDINGS,Equity,4000
00573,TAO HEUNG HLDGS,Equity,1000
00574,PASHUN INT'L,Equity,2000
00575,REGENT PACIFIC,Equity,10000
00576,ZHEJIANGEXPRESS,Equity,2000
00579,JNCEC,Equity,2000
00580,SUN.KING TECH,Equity,2000
00581,CHINA ORIENTAL,Equity,2000
00582,SHIN HWA WORLD,Equity,6000
00583,GWPA HOLDINGS,Equity,2000
00585,IMAGI INT'L,Equity,8000
00586,CONCH VENTURE,Equity,500
00587,CONCH ENVIRO,Equity,500
00588,BEIJING N STAR,Equity,2000
00590,LUK FOOK HOLD,Equity,1000
00591,C HIGHPRECISION,Equity,1000
00595,AV CONCEPT HOLD,Equity,2000
00596,INSPUR DIGI ENT,Equity,2000
00598,SINOTRANS,Equity,1000
00599,E. BON HOLDINGS,Equity,16000
00600,AXERA,Equity,100
00601,REMT,Equity,10000
00602,JIAHUA STORES H,Equity,2500
00603,CHINA OIL & GAS,Equity,20000
00604,SHENZHEN INVEST,Equity,2000
00605,C FIN SERVICES,Equity,2000
00606,SCE CM,Equity,1000
00607,FULLSHARE,Equity,4000
00608,HIGH FASHION,Equity,2000
00609,TIANDE CHEMICAL,Equity,4000
00610,WAI KEE HOLD,Equity,2000
00611,CNE TECH CORP,Equity,2000
00612,CARMEN CENTURY,Equity,8000
00613,PLANETREE INT'L,Equity,2000
00616,ASSET CHAIN,Equity,5000
00617,PALIBURG HOLD,Equity,2000
00618,PKU RESOURCES,Equity,8000
00619,SOUTH CHINA FIN,Equity,2000
00620,DTXS SILK ROAD,Equity,2000
